name,role
Sal Viviano,actor
Burt Reynolds,actor
Eleanor Lapidus,dancer
Michael Meeropol,speaker
Joseph Rockwell,conductor
Benjamin Davis,conductor
Reverend Michael P. Smith,speaker
John C. Tomlinson,speaker
Frances E. Hare,actor
Clyde Woodward,actor
Donald Hilliard,director
Daniel Iglesia,video artist
C. D. Foss,speaker
Margaret Etheredge,actor
Brigitta Blaha,presenter
John Henry Hammond,speaker
Yonhee Cha,speaker
Sir John Pritchard,conductor
Levon Shabanian,conductor
Judith A. Rizzo,speaker
Rose Bikoff,actor
Thomas J. Kennedy,speaker
Louise Ferrand,dancer
Jessye Norman,speaker
James Ragan,reciter
James Joseph Brown,actor
Terry Austin,conductor
Robert T. Murray,actor
Edna Timpson,actor
Red Clark,clown|juggler
Simeon E. Baldwin,speaker
Susan Gamme,narrator
Charles Rockwell Lanman,speaker
Jane White,actor
William J. Dayton,conductor
G. Waldo Smith,speaker
Gustaf Sundelius,conductor
Lanni Russell,dancer
Henry O. Falk,actor
Roy M. Goodman,speaker
George Szell,conductor
Sir George H. Reid,speaker
[first name unknown] Coupard,actor
Gertrude Fayde,actor
Alan R. Hawley,host
Angie Cabrera,speaker
Herbert Fiss,conductor
Emanuel E. Garcia,speaker
Henry W. Herbert,speaker
Beth Holmes,conductor
Samuel B. Capen,speaker
Matt Aiken,conductor
Jason L. Elam,conductor
Elizabeth Wilson Clark,actor
Luis Becerra,actor
W. W. Thomas,conductor
Miss [first name unknown] Goerner,actor
Tor Myklebost,speaker
Jacob Cohen,speaker
Graeme Cowen,conductor
Ione Dean,actor
Adeline Schimmelmann,speaker
John Liepold,conductor
Brian Ferneyhough,speaker
Olivia W. Gutoff,conductor
Anna Robenne,dancer
Anthony Mazzariello,conductor
Clay Vandertulip,conductor
Jose Rocha,conductor
Frederick M. Bryan,conductor
Thomas E. Coulton,actor
Fred A. Lindsay,speaker
Nettie De Nijns,conductor
David Berger,conductor
George J. Mitchell,speaker
Mary Boylan,reciter
Steve Allen,host|comedian|narrator
Reverend Gustave Hausman,speaker
Julian Richmond,actor
Mr. [first name unknown] Hollister,actor
William Rogers Richards,speaker
Nicola Bulgari,speaker
Marjorie Leaycraft,actor
Robert A. McCormick,director
Chris Kosterman,conductor
Reverend Charles L. Thompson,speaker
Wilhelm Gericke,conductor
Jim Duren,conductor
Kathleen Turner,speaker|host
Jerry Haney,conductor
Harry Van Deventer Moore,actor
Standish Simmons,actor
William H. Rand Jr.,speaker|actor
Charles M. Rosenthal,actor
Elinore Morehouse Herrick,speaker
Myron Korykora,conductor
Leo Low,conductor|speaker
Roger Sessions,speaker
F. Bronson Kinney,conductor
Stephen Rodgers Radcliffe,conductor
Heather Dudenbostel,narrator
Richard Williamson,conductor
Jeffrey Brian Russ,speaker
Nicholas S. Timasheff,speaker
Stephen Simons,conductor
Hicham Al-Khatib,dancer
Kostas Kazakos,narrator
Sharon A. Vrieland,conductor
Deems Taylor,conductor|speaker|host|narrator
Richard Glazier,narrator
Jackie Miles,comedian
James Waterman Wise,speaker
Summer Gerard,actor
W. Dale Warren,conductor
H. Plunkett Woodgate,speaker
Grafton Trew,actor
John Cardinale,speaker
George Pehlivanian,conductor
John Bolton,narrator
Johnny Mercer,reader
W. C. Stitt,speaker
Dr. Ruth Westheimer,speaker|presenter
Peter J. Fos,speaker
Alexander Kirkland,actor
Jacques Ungerer,conductor
Lincoln Ellsworth,speaker
Dr. Ervin S. Acel,sabre
Ferruccio Busoni,conductor
Jacob Mestel,director
Sir Thomas Beecham,conductor
William E. DeWitt,conductor
S.J. Arnesen,host
Maria Tallchief,dancer
Jeremy Geffen,speaker|host|moderator
Laurie Bindel,director
Frederick O. Nelson,actor
Scott Yoo,conductor
Nicolas Coppola,puppeteer
Andrew T. Minear,conductor
Anthony Williams,conductor
Christopher Armitage,host
Daniel R. Alonso,speaker
Ralph C. Thayer,actor
Whoopi Goldberg,speaker|host|comedian
Hugh Sanders,conductor
Philip L. Carney,conductor
Rose Mendell,dancer
Ted Rodriguez,dancer
Curt Ebersole,conductor
Samuel Bamberg,actor
Colette Avital,speaker
Dr. Thomas Davidson,speaker
Robert M. La Follette Jr.,speaker
Sir John Foster Fraser,speaker
Bakhytzhan Mussakhodjayeva,conductor
C. A. Jayne,actor
Phillip Sheffield,actor
Michael Niemiec,conductor
Katterine Thompson,dancer
John Godfrey Saxe,host
Louis Iorio,speaker
Melba Moore,speaker|host|reader
Sherill Spruill,conductor
Baby Laurence Jackson,tap dancer
Edward R. Finch,speaker
Kathy Zahrt,narrator
Artur Rodzinski,conductor|speaker
Helen White Stevens,actor
Roger Lamson Jr.,actor
Lissette Montolio,host
Elliott Sullivan,actor
Paolo Giaquinto,conductor
Sal Sicori,conductor
George Lewis,speaker
Thomas F. Farrell,speaker
Michael Reddell,conductor
P. Sheldon,reciter
Gianandrea Noseda,conductor
Joanna Fuhrman,reader
Maureen Orth,speaker
Rosemarie Lindt,dancer|director
Stan Mauldin,conductor
Herbert Benjamin,actor
Patrick Brady,director
Frederick Philip Schlueter,actor
National Folk Ballet of Yugoslavia,ballet dancer
Alfred Skoog,conductor
Bernard Hoffer,conductor
James H. Gedge,conductor|director
Jae Myung Jang,conductor
Annette Smallheiser,dancer
Robert E. Peary,speaker
A. B. Humphrey,speaker
George Houser,presenter
Awadagin Pratt,conductor
Harry S. Six,conductor
Marguerite Moore,conductor|speaker
Sujeet Desai,speaker
Paul Kuentz,conductor
Kendra Slack,dancer
Blair Buffington,narrator
