name,role
Anna Duncan,dancer
Samuel S. Leibowitz,speaker
Stephen Hendricks,conductor
Sade Lythcott,panelist
R. Stedtfeld,speaker
Roxane Guillaume,dancer
Ruth Kobart,narrator
Greg Fritz,conductor
Morris Muster,speaker
Andrew Stein,presenter
Joan Tower,speaker
Charlie Forbes,speaker
Michael Hayden,conductor
Robert Malone,conductor
Melville A. Clark,speaker
Stephanie Tiboris,reader
Harry Schiller,speaker
Dr. J. A. B. Wilson,speaker
Isadore Nagler,speaker
John Cavicchio,conductor
R.G. Strange,actor
William W. Wise,actor
M. Whitney,dancer
Charles P. Taft,speaker
Mr. [first name unknown] Sorley,dancer
Marty Gold,conductor
Margerette Tate,reciter
Ann Dudley,dancer
Russell Sultzbach,dancer
Danuta Kwapiszewska,dancer
Alexandra Sawyier,dancer
Maurice Gosfield,actor
Dvora Lapson,dancer
Donald Trott,conductor
Nello,magician
Istvan Rabovsky,dancer
Tod Machover,conductor|speaker
Greg A. Oden,conductor
Robert Le House,dancer
W.B. Guthrie,speaker
Melba Deslandes,dancer
Jalalu-Kalvert Nelson,speaker
Taeyoung Lee,conductor
Dean X. Johnson,conductor
Léon Théremin,speaker
Izak-El Mu'eed Pasha,speaker
Dr. Mathilde Krim,speaker
Bertrand Andrew,moderator
Edward J. Cantwell,speaker
Amy Grant,reader
Ivan Fisher,speaker
W. H. Sage,speaker
Frederic Hart,narrator
Jerome Shannon,director
Jersey Joe Walcott,speaker
Edmond de Stoutz,conductor
Jean-Baptiste Barriere,video artist
Giorgio Ferrara,speaker
Irene Shepard,actor
Jessie Lansing,actor
Addie Keim,actor
Pascale Haspil,host
Lillian B. Henry,actor
Suzette Batton,conductor
E. Ellery Anderson,speaker
Etienne Decroux,mime
John A. Gambling,host
Catherine Hinterbuchner,speaker
Jodi Gilbert,dancer
Alfred Noyes,speaker|reciter
Abe Goldberg,speaker
May N. Drew,actor
Robert Jones,speaker|presenter
Lena Dunham,actor
Henry E. Dixey,actor
Joseph Breslaw,speaker
Jocelyn K. Jensen,conductor
Mickey Rooney,actor
Wendy Marks,speaker
Marvin Burke,conductor
Clifford Ford,actor
"Santiago ""Chago"" Martinez",director
Claire Bloom,actor|narrator
David Torres-Valentino,speaker
Horace W. B. Donegan,speaker
Katt Williams,comedian
M. Ward,dancer
Toto the Clown,clown
Geo,actor
Rebecca Stenn,dancer
Jessica Physioc,actor
Ken Berry,actor
Dorothy Dann Bullock,presenter
James A. Russell,speaker
Mitchel Ayres,conductor
Alfred B. Quaile,actor
H. J. Tyndale,conductor
Brenda Brenner,conductor
Pady Blackwood,puppeteer
Jung Chang Lee,conductor
Carroll Baker,reader
Tony Osborne,conductor
Robert Grande,conductor
John Charles Campbell,actor
Jennie Folsom Morrill,actor
Eduardo Salazar,conductor
Sylvia Manning,dancer
Adolph Held,speaker
Walter Kappesser,conductor
Howard Cosell,speaker
Amy Poehler,speaker
Clarence Arthur Coan,actor
Lulu Ros,actor
Donna E. Shalala,speaker
Reverend R.L. Rudolph,speaker
Grace Elliston,reciter
Ken Lieberson,conductor
John Edmond Hewitt,speaker
Adel Sanchez,conductor
Ludwig Lore,speaker
Morris Weisenberg,speaker
A. V. W. Jackson,speaker
Gerald P. Kreitzer,conductor
Jennie de la M. Lozier,speaker
George Wallace,reader
Rose E. Tapley,actor
Bob Woodruff,speaker
Harry Price,actor
Mary Lemos,actor
Kate Reid,director
Edward Fowler,actor
David Daniels,speaker
Scarface,actor
Edmund Giegerich,speaker
William Spada,conductor
John Mondanaro,speaker
Rachel Robinson,speaker
Ruth Mason,actor
Tsendiin Batchuluun,conductor
Hideko Tamagusuku,dancer
David B. Hill,speaker
Terry O. McEwen,conductor
Charles Hanson Towne,speaker
Lenwood Morris,dancer
Jerome Alexander,speaker
Frank Timari,conductor
Ida Altieri,actor
Edo de Waart,conductor
Ricky Minor,conductor
Scott Peterson,conductor
Fritz Weaver,reciter
Elsie McClure,actor
Joseph Aloysius Bonner,actor
Fredrik Haslund,speaker
Robert Shewan,director
Jorma Panula,conductor
[first name unknown] Cardillo,conductor
Eva M. Lupovici,speaker
Max Yergan,speaker
Silas G. Pratt,conductor
Edson M. Schryner,speaker|presenter
Robert Gatens,actor
Barrymore L. Scherer,speaker
Antonio Molina El Choro,dancer|flamenco dancer
Kevin Mourad,video artist
Josh Thye,conductor
William H. King,speaker
Barbara Jill Cummings,speaker
Beatrice Lillie,actor
Reverend Herluf M. Jensen,presenter
Ethel Simpson,actor
Norman Hapgood,speaker
Lisa Richette,speaker
Manuel Stark,actor
Malcolm Sinclair,speaker
Arthur J. Lawton,actor
Edward H. Theis,speaker
James Cusati-Moyer,actor
Betty Spence,dancer
William Shine,conductor
D'Banj,speaker
Thomas Steers,dancer
Buckminster Fuller,speaker
Patricia Lorraine Lamb,speaker
Anne E. George,interpreter
Cornelia Van A. Chapin,actor
Linda Cevallos,dancer
Frieda Hempel,speaker
Victor Bolarinwa,conductor
Rachel Coloff,actor
Margaret Manton Merrill,actor
Paul Asimow,conductor
Ricardy Romain,speaker
J. Heniger,actor
Jane Gordon,actor
John Francis Tewey,speaker
Hyo Jong Chang,conductor
Noel MacDuffie,dancer
Barbara Sukowa,speaker|actor
[first name unknown] Cobb,actor
Ron Waiksnoris,bandmaster
Nathan Bugh,dancer
Ernesto Carreras,actor
Clemens Krauss,conductor
Louis DeSario,speaker
Charles D. Sigsbee,speaker
Herman Neuman,conductor|speaker
Gino Mescoli,conductor
Sam Franko,conductor
Therese M. Simmons,conductor
Harmon Cheshire,dancer
David Bernard,conductor
Grover Cleveland,speaker
William Richards,conductor
Stephanie Mesrobian,host
[first name unknown] Carter,actor
Vera Zorina,narrator
Nathan Pilatzke,Irish step dancer
James Mills,actor
Pal Maleter Jr.,speaker
John P. Paynter,speaker
Mort Lindsey,conductor
Steven Crawford,conductor
Roger Boutry,conductor
Ronald M. Chiles,conductor
Mimi Aguglia,actor
Tracey S. Resseguie,conductor
Isaac Stern,speaker|host|presenter|speaker
Harold Raynolds,reciter
David Holmes,dancer
Anne Ezell,conductor
Joseph A. Shaw,speaker
Charles J. Schwab,conductor
Aida Kaufman,reciter
Peter Randazzo,conductor
Dr. William P. Merrill,speaker
Anita Peabody,actor
Michael Walters,dancer
Trish Jarvis Simonson,speaker
Max Meisel,actor
Mark Nichols,conductor
May Day,dancer
Lloyd Newell,announcer
R. Musen,actor
William Collier,host|comedian
Fernando Ramos,dancer
Javier Cruz,flamenco dancer
Louise Charlotte Ball,speaker
George Jessel,speaker|comedian|narrator
Andrew Waggoner,speaker
Douglas J. Cuomo,speaker
Mike Wells,conductor
Ronald Schweitzer,conductor
Justin Hines,host
Byron Doty,actor
William Jonson,conductor
Mabel Hinton,actor
Mark Donahue,conductor
Barbara Haskell,speaker
Danny Glover,actor|host
Carol Chamson,dancer
H. L. Mills,actor
Tom Pecinka,actor
Brian R. Peter,conductor
Sophia Vembo,reciter
Eugene Forker,speaker
Zachary Morita,conductor
Susan Schwartz-Giblin,speaker|presenter
Doug Fischer,conductor
William J. McAuliffe,speaker
Joseph W. Dunn,conductor
Paulo Cesar Franco,conductor
Charles R. Allen Jr.,speaker
Larry Schnitzer,conductor
Keely Rivera,hula dancer
Walter Lawrence Michel,speaker
Milton Katims,conductor
L. Samoos,actor
Abraham Borodkin,conductor
Ralph Affoumado,director
Gail Deadrick,conductor
Dhimah,dancer
Tony Danza,actor|dancer
Beniamino Maggio,comedian
Beah Richards,actor
W. Rogen,dancer
Mrs. [first name unknown] Spence,reader
Judith Jamison,speaker
Roscoe Turner,speaker
Aage Steenshorne,reciter
Gloria Gehlen Chalif,dancer
Sipho Ngcamu,dancer
Peter McKenna,conductor
Elsie Shaw,actor
Walter George Smith,speaker
Helen A. Tappen,actor
[first name unknown] Valls,actor
Frances Moses,dancer
Joan Didion,speaker
Donnell Jones,dancer
Toukie Smith,actor
Denes Szatmary,ballet dancer
Berthe Riboreau,dancer
Sergey Gerasimov,speaker
William C. Powell,conductor
Ugo DiDio,conductor
Alexander Mickelthwate,conductor
Alan Mucatel,speaker
James Rogers,conductor
Alexander N. Ivanoff,conductor
E. Churchill Wright,actor
Phillip C. Posey,conductor
Jamaal Watson,speaker
Eugene Francis McGinnis,speaker
H. Ives Robinson,actor
Reverend William H. Lazareth,speaker|presenter
Kanji Segawa,dancer
Laura de Gozdawa Turczynowicz,speaker
Sandra Snow,conductor
Ernest De Maio,speaker
Reverend William Wrede,reader
Charles J. Moore,presenter
Ellen Knowles,actor
Stephen Weiner,speaker
Juanjo Mena,conductor
Fred McNab Johnson,speaker
Mark Tactay,dancer
Swami Muktananda,speaker
Nelson Payne,conductor
Paul Chiaravalle,conductor
Paul Lansky,speaker
Jason Altieri,conductor
Angela Pringle,actor
Maurice Ivy Dowell,dancer
Dzaya Castillo,conductor
Anna Minck,actor
Linus Lerner,conductor
Beverly B. Dobbs,speaker
Jennifer Randolph,conductor
Michael J. Fox,speaker
Adalyn L. Ackerman,actor
William A. Prendergast,speaker
Hasoutra,dancer
Clarence J. Shearn,speaker
John Le Roy Atwell,actor
Doris Niles,dancer
Sally Schott,conductor
Leslie S. Hollander,conductor
Charles. S. Sager,actor
Gorni Kramer,conductor
Ralph Shapey,conductor
Ralph A. Harris,conductor
Hugh Johnston,conductor
Abigail Tenembaum,speaker
Ruth Billings,speaker
Ben Harney,narrator
Mark Schweid,narrator
William L. Henry,conductor
Dr. Salvatore G. Fiore,conductor
Junichi Hirokami,conductor
Paul Watkins,conductor
Andre Braugher,narrator
Grace Villanueva,dancer
Endel Kalam,conductor
Fridtjof Nansen,speaker
Jarrett Lipman,conductor
Floyd Reeves Smith,speaker
Ida Abel,dancer
C. D. Jackson,speaker
Archibald MacLeish,speaker
Lemuel B. C. Josephs,actor
Howard C. Bronson,presenter
Reese Norris,conductor
M. Weisenfreind,speaker
Olin Downes,speaker|host
James Shallenberger,conductor
Moses J. Brines,actor
R.J. Wohlman,conductor
Todd W. Guy,conductor
Albert Plaut,speaker
Sonia Olla,dancer
Paul M. Wallach,presenter
Brian J. Bacon,conductor
Nathan Schram,director
Robert Watchorn,speaker
Michael Rossi,conductor
Herman Rose,actor
M. Golding,speaker
Timmie Rogers,host|comedian
Robert E. Sherwood,speaker
Will Mahoney,comedian|tap dancer
David Stahl,conductor
N.S. Shaler,speaker
P. S. Oakes,reciter
Robert A. Stranahan,speaker
Nellie K. Moquin,dancer
Millicent Tremaine,actor
Kent Hatteberg,conductor
Kephra Burns,reader
Shawn Usedom,conductor
Phillip Robb,conductor
Tony Giorgio,host
Chris Fenwick,conductor
In Suk Kim,conductor
Enya Tsukudagawa,director
Tom Price,conductor
Elizabeth Pena,narrator
David Ezell,conductor
Reverend Charles L. Goodell,speaker
Jonathan Neiderhiser,conductor
Mike Ware,conductor
Sui Lei,director
William Travers Jerome,speaker
Richard G. Stilwell,speaker
Ross C. Bernhardt,conductor
Dave Sears,host
Edmund J. James,speaker
Gary Scudder,conductor
Violeta Ortega,zapateado
[first name unknown] Esteva,actor
Matthew J. Merritt,speaker
Julius Weiss,speaker
Bradley A. Fiske,speaker|host
Frank Dampfert,actor
Reverend John D. Long,speaker
Nile Rodgers,speaker
Henry Stokes,actor
Frieda Hollander,conductor
Jennifer Beck,conductor
Jeffrey R. Smith,conductor
Janice Weber,speaker
Joshua Butterfield,conductor
Josh Bula,conductor
Howard Cable,conductor
Elliott Schenck,conductor
P. Augustus Anderson,actor
Joe Centeno,dancer
Meredith Elaine Baker,conductor
Somtow Sucharitkul,conductor
Amy Snyder,conductor
Kate Bosworth,speaker
Synneve Carlino,speaker
Daniel M. Long,conductor
John Hugh Bolton,speaker
N. Dushane Cloward,conductor
E.C. Stokes,host
George Bourlos,reciter
Stanley Baxter,actor
Louis V. Gerstner Jr.,speaker
Eva Le Gallienne,actor
Joe Eposito,actor
Steven Gearhart,conductor
Beatrice Dale,actor
Vincent d' Indy,conductor
H.A. Schimmerling,conductor
Dorothy Nelson,dancer
William Feinberg,speaker|speaker
Jacqueline M. Jenkins,speaker
Reverend J. Henry Healy,speaker
Heinz Holliger,conductor
Talib Kweli,rapper
Glenn Miller,conductor
Evelyn Lear,speaker
Paul Craig,comedian
Alexander A. Troyanovsky,speaker
Madam Simone,actor
Nicholas J. Elsenheimer,conductor
Nadine Mozon,narrator
Bill Gaither,speaker
Everett West,actor
Alistair Cooke,narrator
MC Lyte,rapper
Alfred Y. Cornell,conductor
L. Deutch,speaker
Howard Cass,conductor
F.H. Jacobs,conductor
Dr. Allan Roy Dafoe,speaker
Meryl Sacks,conductor
Nick Nolte,presenter
J.H. Howland,actor
Ronit Berman,conductor
Pavle Despalj,conductor
Sindebrand Moses L.,actor
William John Mitchell,actor
Melvin Strauss,conductor
Renée Fleming,speaker|actor|host
Maxie Rosenbloom,actor
Peter Oundjian,conductor
Yvette Elder,conductor
Johnette LeBlanc (Parker),conductor
William Z. Foster,speaker
Shawn Kirchner,conductor
LeGrand Griswold,actor
Danilo Dolci,speaker
Judith Willoughby,conductor
Des Keogh,actor|host|narrator
Joseph F. McLoughlin,speaker
George Martin,conductor
Lisa D. Harrigan,conductor
Charles H. Lewis,conductor
Jason Hooper,conductor
Diana Soviero,presenter
Sherry Cassin,speaker
William H. Tyers,conductor
Caren Constantiner,speaker
John Trudell,speaker
Alice Ford Robbins,actor
Laura F. Dreyfoos,actor
Henry Dunn,comedian
Matt Bullock,actor
Dorothy Dielman,conductor
Charles de Chambrun,speaker
John Mogulescu,speaker
Joseph Eunkwan Choi,conductor
George Edwards,actor
Dr. Michael Alexiades,speaker
Charles S. Fairchild,speaker|host
Mrs. Frances McDaniel,host
William L. Clayton,speaker
Jeffrey A. Lacoff,conductor
Carlton J. H. Hayes,speaker
Joanna Medawar Nachef,conductor
Dzigan,comedian
Thomas E. Dewey,speaker
Matthew Kennedy,conductor
Matt Ward,speaker
Alexander Blachly,conductor
Winifred Scammon Jones,actor
George Foster Peabody,speaker|host
James Gledhill,actor
Reverend James B. Wasson,speaker
George Gee,disc jockey
Edward Harrington,ballet dancer
Julie Ford,conductor
Stuart Barr,conductor
John Dodson,conductor
Gilbert Kaplan,conductor|speaker|moderator
David Blumenthal,speaker
Raymond Gerome,narrator
Mark F. Lawlor,conductor
Raymond Sexton,speaker
Joseph Joffe,conductor|speaker
Lola Galvez,actor
Alexandra Kiesman,narrator
Elizabeth Futral,narrator
Reverend William W. Blatchford,speaker
W. Adams Brown,speaker
John Massaro,conductor
Clara Strothman,dancer
Reverend F.E. Clark,speaker
Edmund Booth,dancer
Jonathan W. Bourne,speaker
Edmund Sprunger,host
Alicia Akers,director
Henry Levy,conductor
Dr. Noa Kageyama,speaker
Peggy Starr,dancer
Kristen Rodak,conductor
Uta Hagen,speaker
Dale Miller,conductor
William Francis McGovern,actor
Philip Evergood,speaker
Richie Goldberg,host
Dimitris Lambrianos,conductor
Alexander Ledkovsky,director
L. Rosenzweig,speaker
John F. Caliguri,conductor
Reverend Franklin Clark Fry,speaker
Milen Nachev,conductor
Tibor Kozma,conductor
Eunice Kelly,dancer
John Stark,comedian
Lloyd Gough,actor
M. L. Bethel,conductor
Rosika Schwimmer,speaker
Adele Willis Bolles,reader
Kenneth W. Megan,conductor|director
Maria-Theresa,dancer
Theodore Marier,conductor
Steven Melendez,ballet dancer
Judah L. Magnes,speaker
Jose Molina,dancer
William Bayne,conductor|actor
Jackie Starr Manaro,speaker
Ernest Hogan,comedian
Celia Dembroe,dancer
Nick Kenny,speaker
Raymond Gram Swing,speaker
Reverend M. J. Englund,speaker
Florence Schneider,dancer
Henry E. Krehbiel,speaker
Donald B. Macmillan,narrator
Hall Johnson,conductor
Milton Thomas,conductor
Melanie Deegan,Irish step dancer
Marjorie Rambeau,actor
M. Carey Thomas,speaker
David Zinman,conductor
David Hernandez,conductor
Brian Smith,conductor
Won Sang Yun,conductor
Edwin A. Vargas,speaker
Reverend Joseph Rankin Duryee,speaker
Marilin Salerno,dancer
Mrs. Paul Van Cleve,speaker
E. Helguero,actor
Peter Flynn,actor
George A. Keeley,actor
William Heene,actor
John C. Sheehan,speaker
Flip Wilson,comedian
Marie Curie,speaker
John A. Hoyt,actor
Tom D. Evans,actor
I. A. Chapman,actor
Jackie Siegal,speaker
Jane DeLoach Morison,conductor
John Beall,conductor
Claire Sweetland,actor|dancer
Teresita,dancer
Dmitri Jeffrey,dancer
[first name unknown] Lopez,actor
Yoichi Sugiyama,conductor
Donald Runnicles,conductor
O. Malvido,fencer
Matthew Schickele,actor
Asia Smith,host
Anna Moffo,speaker
Otto Klemperer,conductor
Stefan Asbury,conductor
Jason Aiello,conductor
Dorothy Furman,speaker
Charles Colvin,conductor
Pablo Picasso,speaker
Tim Andersen,conductor
B.L. Leventhal,speaker
Robert Hogan,director
William E. Farrell,actor
Bill Moyers,moderator
William J. Cooper,speaker
Bruce W. Bryant,director
Lewis Kaplan,conductor
Kosaku Yamada,conductor
Eleanor Stuart,actor
Sydney Francis Rice,actor
Morley Safer,moderator
Angelina Pullis,actor
Niles G. White,speaker
Reverend Edward A. Lohman,speaker
Reverend Paul K. Lee,speaker
Edward McCawthan,conductor
Aventurina King,host
Charles V. Fornes,speaker
Hiroya Aoki,conductor
Janet Davis,conductor
[first name unknown] Sharman,actor
William N. Wilmer,speaker
S. Lawrence Miller,actor
Mindelle Pikoos,narrator
Duane Davis,conductor
Alie Massicot-Gray,speaker
Kelly Markgraf,dancer
Paul Shaffer,host
Yoon Sook Park,dancer
Jay C. Flippen,actor|host
Emanuel Vardi,conductor
Jesse Rosen,host
Divine,actor
Dirk Foch,conductor
Maurice Stuart,actor
William LaVorgna,conductor
Asa T. Soule,actor
Gregory Clemons,conductor
Keith Lathrom,conductor
Mrs. Walter S. Mack,speaker
Max M. Waits,conductor
Hugh Cameron,actor
Myung Sook Chung,dancer
Margaret Kilroy,dancer
Carol Brown,dancer
Thomas A. McGoldrick,speaker
Ronald Colton,dancer
Francesco Lentini,conductor
Arthur Burke,actor
Vijay Ghosh,narrator
Cab Calloway,conductor
Taeja Kim Lee,presenter
Dean Diggins,tap dancer
Richard H. Timmermann,speaker
Adrienne Tolsch,comedian
Liz Lerman,dancer
Aurelia Henry Reinhardt,speaker
Ronald Zollman,conductor
W. Winship Fink,actor
Kathryn Cammarata,conductor
Richard John Barry,speaker
Richard N. Gottfried,speaker
Yella Hertzka,speaker
Evan Handler,actor
Anita Mendez,dancer
Beth Amoroso,narrator
Mark Harden,conductor
Helen Louka-Kazis,actor
Jane Pauley,presenter
Ryan Tani,conductor
J. Seinfel,dancer
Dr. Jindrich Starch,speaker
Florence Clark,speaker
Marty May,actor
R.J. Dvorak,conductor
William C. Wild,actor
Gerald Blake,reciter
Terry Bjorklund,conductor
Tina Ramirez,dancer
Hagop Der Khachatourian,speaker
Maurice M. Witherspoon,speaker
Louise Ebeling,actor
Sir Michael Tippett,speaker
Leah Bogue,conductor
Blake Ritter,actor
A. J. Ramsey,actor
Frank J. Galati,speaker
George Stephanopoulos,speaker
Eddie Fargason,conductor
Joshua Oppenheim,conductor
Doris Taylor,dancer
Henry Francis Luedeke,speaker
Rene Clausen,conductor
Joseph Cordeiro,conductor
Charlie Dale,comedian
Lois V. Vierk,conductor
Kimberly Ritzer,conductor
Karen Breidert,conductor
Elizabeth H. Arnold,actor
Sir Georg Solti,conductor
Clinton Combs,actor
[first name unknown] Franzen,conductor
E. Koch,dancer
Floyd Y. Keeler,actor
John Cunneen,speaker
Annie Rub-Foerster,actor
Virginia Baker,actor
Katherine Duer Mackay,speaker
Katherine La Fountain,dancer
John Wickersham,conductor
Emil Schoen,conductor
Maud Farwell Bliss,actor
Marian Smith,dancer
Raymond S. Rubinow,speaker
Katie Lester,director
Roswell C. Othemar,reciter
J. Sultan,speaker
Mary Raye,dancer
E. H. Trafford,actor
Alex Borstein,actor|comedian
Susan Peel,conductor
Svetlana Sandrovska,dancer
William Patrick Vallely,actor
W.H. Tooker,actor
Wynton Marsalis,presenter
Betsy Holland,actor
Robert Judge,conductor
Charles P. McClelland,speaker
E. Travers,actor
Lucie Feuilly,dancer
Arthur Friedheim,conductor
Karyn Overstreet,actor
Reverend James I. Vance,speaker
Barbara Milberg,dancer
Wil Sylvince,comedian
Ignace Strasfogel,conductor
Darren DeVivo,host
Irene McIntyre,dancer
Eugen Jochum,conductor
Vincent Lopez,band leader
Lesley Stahl,speaker
MC Lars,speaker|rapper
Frances Long,speaker
Bert Williams,actor|comedian
Fred R. Meres,reciter
Anthony J. Rafaniello,conductor
Emilio Costa,actor
Rolly Rolls,comedian
Pepe Santana,director
Edward MacDowell,conductor
Laurence Laurenzano,conductor
Paul Giamatti,speaker
Peter O'Toole,actor
Cindy Adams,host
Otello Rapini,conductor
Page Silverman,conductor
Susie Menkes,speaker
Lee Balaguer,conductor
Herman F. Miller,conductor
Damien Sneed,conductor
Helen Yuder Freeman,speaker
Lemist Esler,actor
Gay Talese,actor
Elbert Russell,speaker
Bernard Morris Leon Ernst,speaker
Arthur Holly Compton,speaker
Bev Henson,conductor
Jaqueline Hurley,dancer
Varina Golyovna,dancer
Bishop Keane,speaker
John R. Seffrin,speaker
Peter Schubert,conductor
Elsa Payne,actor
Eva Lekstroem,dancer
Frank J. Guarini,speaker
Robert Bryant,conductor
Hermann Hans Wetzler,conductor
Irving Babbitt,speaker
Oreste Ferrara,speaker
Beluh Green,actor
George A. Flynn,actor
Leonard J. Dayton,speaker
Hacene Larbi,conductor
Bob St. Clair,dancer
Ferdinand E. Suehli,speaker
Donato Cabrera,conductor
Howard S. Harrington,actor
Carmen Mautilla,actor
William P. O'Ryan,speaker
Barbara Dolgin,dancer
Arthur Lessner Swift Jr.,speaker
Laura Kaminsky,director
Ryan Deane Ellis,conductor
Cartier Williams,dancer
Charlie Binson,speaker
Lilly Choulet,dancer
Bongumusa Mabaso,dancer
Penna Rose,conductor
James F. Jennings,actor
Seung Han Lee,speaker
Herman Gersten,conductor
Assad Milhim,speaker
Laura Walker,speaker
[first name unknown] Jackson,actor
John Masefield,reciter
Reverend Laurence T. Hosie,speaker
R. G. Knowles,speaker
Adrienne Morrison,actor
Reverend Edwin F. Harlenbeck,speaker
Mark Davis Scatterday,conductor
William Zito,presenter
Ward B. Chamberlin,actor
Miriam T. Vincent,speaker
Peter Boyle,actor
Vivienne Maden,dancer
Edward Reilly,speaker
Bert Lytell,actor
Marion Nesvadba,conductor
Hale Smith,host
Josef P. Oszuscik,conductor
Luis Kalaff,band leader
Charles Schreiber,speaker
Sang Yun Bang,presenter
Arlene Francis,host
Antonio Santaella,flamenco dancer
Steven Hinton,speaker
James K. Finch,actor
Lucretia French,actor
Thomas Fulton,conductor
Dr. Jack Addington,speaker
James Rodde,conductor
Fay Lavan,speaker
Rachael Worby,conductor|speaker|narrator
Frank Cordts,speaker
Lee Bernheim,actor
Howard Chandler Robbins,speaker
Phyllis Diller,comedian
Senor Wences,ventriloquist
Ben Hecht,narrator
Maria Mitchell,dancer
Ben Blue,comedian
Bruce Vilanch,comedian
Lilian Koehler,dancer
Julius Arthur Brown,actor
Edith Lawrence Black Bailey,speaker
William Ramsey,conductor
Herbert S. Glasby,actor
Dr. William Rosenau,speaker
Sam Saunders,conductor
Henry B. Walbridge,actor
Adeline Bagby,actor
H. B. Kiraify,actor
Jerry McCoy,conductor
Adelaida B. de Edelmann,actor
Thomas Mann,speaker
Nicholas Tchaykovsky,speaker
William T. Wardwell,speaker
Lewis M. Whikeheart,director
John Robertson,conductor
Gloria Ackerman,speaker
Byron Cantrell,conductor
Roman O. Bilynsky,speaker
George W. Day,comedian
Saswati Sen,dancer
Vincent LoRusso,conductor
DJ Alstadt,conductor
John Alexander Dowie,speaker
Richard Gard,conductor
William Farley Smith,conductor
Catherine Zeta-Jones,speaker
New York Pops Salute to Music Students,choir
Todd Whitley,dancer
Jeong Soo Kim,conductor
Marion Peraza de Webb,conductor
Sterret Prevost,actor
Stuart Elster,conductor
Ann Salwey,reader
John Mulaney,comedian
Elma Bayer,dancer
Michael McKean,comedian
Ruth Schrader,dancer
Richard Stern,actor
Harry M. Curtis,actor
Steven Nielsen,conductor
Peter Hendrickson,conductor
Lili kao Temma,dancer
Konstantin Ivanov,conductor
Thomas Stites,conductor
Ettore Stratta,conductor
Wayne Morse,speaker
Irving Altman,speaker
Madeline List Hershenson,conductor
Giovanni Bagarotti,conductor
Thomas Francis Harrington,actor
Hanh T. Nguyen,speaker
Rand Steiger,conductor
Muhal Richard Abrams,conductor
Jessica Boevers,actor
Intikana,rapper
Henry Hadley,conductor
Christopher Florio,conductor
Lola Pashalinski,actor
Neil Gaiman,reader
Sibyl Glick,dancer
Zvee Scooler,actor|narrator
Serge Jaroff,conductor
Henry O. Osgood,speaker
Frank Jacobs,conductor
Lewis J. Stadlen,actor
Rene Viviani,speaker
Nicholas G. Taylor,conductor
Daphne Imbrie,actor
Adolph Green,speaker|host
Harold Minnifield,dancer
Randall Hooper,conductor
Calvin Tomkins,speaker
Thee Phantom,conductor
Eugene O'Neill,actor
Pinkhos Churgin,speaker
Alan Lomax,host
Carlo Donadio,conductor
Gary Hodges,conductor
Jason Tengco,speaker
Ethel Hinton,impressionist
Patricia Howell,actor
Banning Eyre,host
Madeleine Heydacker,dancer
Milton Berle,speaker|host|comedian
Susan Davis,sign language interpreter
Mariss Jansons,conductor
Randolph R. Schrade,conductor
Elizabeth Russo,host
John Kurdewan,speaker
Lynette Carr-Hicks,conductor
Fenwicke Holmes,speaker
John W. Keller,speaker
Joseph E. Deveau,conductor
Vincent H. Edwards,conductor
Gene Wesson,comedian
Lawrence Sherman,speaker
Dong-Ic Choi,conductor
Carol Dunne,actor
David Ross,narrator
Joseph Pulitzer,speaker
Florian Henckel von Donnersmarck,speaker
S. A. O'Connell,actor
B.D. Macdonald,speaker
Yvonne Harris Jones,speaker
Dunworth,magician
Merle Derby,dancer
Sue Burnet,actor
David Pritchard,puppeteer
Macy Harlan,actor
J.C. Cook,conductor
Nathaniel Goldstein,speaker
Marian Seldes,actor|narrator
Einzi Stolz,speaker
Marek Janowski,conductor
[first name unknown] Suarez,actor
Zeljko Milicevic,conductor
Jean Claudric,conductor
Paula A. Crider,conductor
Orlo Gilbert,conductor
Bianca Marroquin,actor
Debra Miller,host
Rachel Nadav,dancer
Vincent Middleton,actor
Samuel Brill,narrator
Bill Burr,comedian
Josephine Mitchell Lumb,actor|mime
Barney Ross,speaker|host
Dr. Norman McCulloch,conductor|director
Mary Russell,actor
Randall Kile,conductor
Jeanne Cascio,conductor
Agnes Crawford,host
Reverend Floyd S. Leach,speaker
H. S. Jones,actor
L. Poporello,conductor
Gertrude Griffin,actor
Amanda Picardi,reader
Tom Savitt,comedian
Alfredo Cruz,host
Isabella Selmes,actor
R.A. Ward,speaker
Joseph Mayer Proskauer,speaker
Robert Clohessy,actor
Robert Susman,conductor|director
Leon Moulinier,actor
William Moersch,conductor
Martin Cohen,conductor
Richard Malcolm Johnston,reader
Olaf C. Christiansen,conductor
Luigi Dell'Orefice,conductor
Christopher Kendall,conductor
Harvey M. Rice,speaker
Russ Pieken,conductor
Winston Churchill,speaker
Juanita Deering,dancer
Ruth Siebenmorgen,dancer
Gary Bayer,actor
Reverend Paul Lindemann,speaker
Robert Silberbush,conductor
Edward Grace,actor
Ayree Koh,host
Jerzy Kurczewski,conductor
Eileen Wright,conductor
Amberly Bush,conductor
Henry Franklin-Bouillon,speaker
Mark Deakins,conductor
Deborah King,speaker
Leslie Graff,speaker
Richard Gordon Hatcher,speaker
Reginald Wylam,dancer
Eunice Valutka,dancer
Natalie Farmer,dancer
Shungo Moriyama,conductor
Ben Greet,actor
Mal Z. Lawrence,actor|comedian
Hamilton Howard,actor
Edward C. Halperin,speaker
Kate Hassett,actor
