name,inst
William Coleman,viola
Ralph Kirshbaum,cello
Clara-Jumi Kang,violin
Nana Lewis,soprano
Pina Carmirelli,violin|viola
Robert Bloch,violin|tenor
Camille Yarbrough,vocalist
Dominique Gaumont,guitar
Milla Ilieva,soprano
Michael Gees,piano
Christina Carroll,soprano
Henry Wong Doe,piano
Rod McKuen,vocalist
Clara Lipman,unspecified
Janet Putnam,harp
Honggang Li,violin|viola
Sharon Roffman,violin
Walter Blazer,tenor
Ariel,piano
Sooji Oh,violin
Eric Moe,piano
Michael Liamkin,piano
James Sherlock,piano
David Holloway,baritone
Kim Paterson,piano|celesta
Saba Askari,piano
Steve Love,electric guitar
Regina Carter,violin
Melissa McIntosh Landis,soprano
Jong Ho Kim,tenor
Susan Dever,flute
Masato Fujihara,baritone
Connie Kupka,violin
Nat Adderley,trumpet|cornet
J.J. Cale,guitar|vocalist
Eve Lyn Russell,soprano
So Yoon Lee,piano
Samantha Bunderson,piano
Jasper Wood,violin
Karine Carusi,soprano
Lawrence Fountain,piano
Sheila Minzer,piano
Peter Loehle,bass
Moses Rudinoff,baritone
Priscila Bomfim,piano
Claire Lee,piano
Jordan Shaner,baritone
Branko Kosir,violin
Skip James,vocalist
Irene Bo-Kyung Kim,soprano
Sylvie Asselyn,piano
Adel Galanffy,piano
Alice Nelson,soprano
Karen Bevan,soprano
Johannes Sembach,tenor
Romuald Tecco,violin
Marie Knight,vocalist
Miriam Abramowitsch,soprano|mezzo-soprano
Leah Katz,viola
Marta Sanders,vocalist
Kristen McKeon,alto saxophone
Elizabeth Kim,piano
Kelly Smith Toney,violin
Emanouil Manolov,violin
Andrea Griminelli,flute
Yukari Shikanai,piano
Anne Fryer,violin
Maria Jeleztcheva,bassoon
Jean Ludman,mezzo-soprano
Tara Erraught,mezzo-soprano
Ted Dunbar,guitar
Julie-Ann Whitely,soprano
Rene Eduardo Molina,cello
Stephen Fang,cello
Arvid Aasen,boy soprano
Laura Klugherz,violin
Mark Nicholas,piano
Blanche Abram,piano
Mauro Refosco,vocalist|percussion|zabumba
Brian Kay,bass
Elinor Warren,mezzo-soprano
Scott Cuellar,piano
Tasmin Little,violin
Hee-Kyung Juhn,piano
Spyros Mourikis,clarinet
Charles Corey,cloud-chamber bowls|kithara|surrogate kithara|harmonic canon
Anne Chamberlain,piano
Ben Drachler,unspecified
Marga Hanson,harp
Arthur Temme,violin
Adelle Alberts,soprano
Andrea Jeanette Buchanan,piano
Friedemann Jaehnig,viola
Shu ching Cheng,piano
Kenneth Tarver,tenor
Sumi Jo,soprano
Joe Cherry,tenor
Mac Davis,vocalist
William Kannar,double bass|bass guitar
Andrew Jacoff,trumpet
Jim Powell,trumpet
Paul Aumonier,bass
Gregory Wilson,vocalist
Rachel Rudich,flute|alto flute|piccolo|bass flute
Daniel J. Sinai,piano|tenor
Douglas Knight,mrdangam
Lynn Crigler,piano
Le Cong Hau,guitar
Mark Yancich,timpani
Clifton Anderson,trombone
Bronwen Hamilton Jones,clarinet
Jorge Leliebre,flute|maracas
Gordon Berger,baritone
Ann Salyk,piano
Kyoung Ah Yeom,piano
Hazel Malcolmson,bassoon
Adrienne Francais,percussion
Bryn Davies,double bass
Jose Echaniz,piano
David Mangham,bass
Andrew Tunis,piano
Efrem Towns,trumpet
Michele Saxon,double bass
Thomas Ebert,tenor
John Dalton,bass guitar
Felicia van den End,flute
Woo-Mee Ye,piano
Mary Ann McCormick,mezzo-soprano
Grace Ng,piano
Howard Weiss,piano|violin
Aneurin Edwards,unspecified voice
Paul Pizzuti,drums|percussion
Gordana Curguz,alto
Victor Savant,piano
Jiyae Park,piano
Jim Donica,double bass
Shannon Chieh,harp
Jasmine Chang,piano
William Harvey,trumpet|violin
Marcia Butler,oboe|English horn|oboe d'amore
Juliane Banse,soprano
Jiwon Choi,double bass
Ali Boustan,setar
Ganda Suthivarakom,vocalist
Maximillian Rief,piano|violin
Ivonne Atmojo,piano|vocalist
Hyun Gon Kim,clarinet
William Greenshaw,piano|organ
Anne-Julia Audray,soprano
Xavier Ribalta,vocalist
Gabriel Bolkosky,violin
George Liech,tenor
Michiko Hayasaka,piano
Joan Scheckel,vocalist
Amos Yang,cello
Richie Hawley,clarinet
Reverend [first name unknown] Schlechter,unspecified voice
C. Calvert,unspecified voice
James Trainor,baritone
Yosuke Kawasaki,violin
Josephine Buonasorte-Jones,soprano
Grace Li,piano
Sujin Kim,soprano
Judith Raddue,soprano
Erik Quiles,double bass
Sun Young Ju,piano
Albert A. Wiederhold,baritone
Lauren Wood,baritone saxophone
Steven Boyce,piano
Billy Kyle,piano
Armen Kasparian,flute
Pierre Hommage,violin
Paul McGrane,piano
Grace Ko,piano
Congcong Chai,piano
J. Tim Brymn,piano
Mischa Poznanski,violin
Edwin Harvey Lockhart,bass
David Anchel,bass-baritone
Samuel Borodkin,xylophone
Mary Bowen,mezzo-soprano
Renee Jolles,violin
Ryan Phelan,piano
Barbara Goldberg,piano
[first name unknown] Coe,mandolin
Marcia Ware,vocalist
Johanna Matocha,piano
Hampic Djabourian,duduk
Livio Caroli,oboe
Raymond Shroeder,clarinet
Petro Zacharchuk,tenor
Russell Maddox,percussion
Richard Scruggs,soprano saxophone
Rene Japhet,mezzo-soprano
Christiane Karam,vocalist
Young Kwon Llerena,piano
Toshiko Kiryu,piano
Sophie Stoile,soprano
Ilton Wjuniski,harpsichord
Maria Manzano Gomez,piano
Brian Owens,vocalist
Alfred Barrington,unspecified voice
Freddy Fender,guitar
Michael Bacon,guitar|vocalist
Gail Sullivan,soprano
Derrick L. James,tenor
Tae Hwan Ku,tenor
Margaret Batjer,violin
Alexander Moll,guitar
Robert M. Peters,piano
Joel Harder,piano
David Gordon,tenor|harpsichord
Eugenia Alikhanova,violin
Monica Groop,mezzo-soprano
Charles Everett,tenor
Diana Krall,piano|vocalist
Roger Lewis,soprano saxophone|baritone saxophone
Nadejda Vlaeva,piano
Juan Carlos Vasquez,percussion
N. Val Pavey,piano
Holly Sparlin Sargeant,soprano
Lynn Enman,oboe
Don Shelton,woodwinds
Alvin Hammer,vocalist
Sean Kelloff,piano
Vanessa May-Lok Lee,piano
Rosita Diaz,soprano
DeShannon Higa,trumpet
Josie O'Leary,vocalist
Young-Ja Kim,vocalist
Marni Nixon,soprano
Robert A. James,tenor
KangEun Seo,piano
Walter Gormley,unspecified voice
Cetta Bryant,soprano
Loreal Sherman,soprano
Etni Molletones,flute
Valer Sabadus,countertenor
Selma Gudmundsdottir,piano
Claudia Lyon,recorder|alto recorder
Julius La Rosa,vocalist
Volodymyr Panteleyev,cello
Xenia Loffler,oboe
Frederick Werner,cello
Mark Snyder,oboe
David Holzman,piano
Daniel Orestuk,violin
Lauren Daigle,vocalist
Henry Schuman,oboe|English horn|oboe d'amore
Robert S. Cohen,piano
John C. Williams,baritone saxophone
Robert Marien,vocalist
Peter Forst,accordion
Ali Basegmezler,viola
Dorothy Cole,contralto
Shoji Mizumoto,flute|shakuhachi
Jesus Giron,bass guitar
Michael Mizrahi,piano|keyboard|harpsichord|harmonium
Rohan de Lanerolle,baritone
Fredrika Brillembourg,mezzo-soprano
Anita Koch,soprano
Leo Reconi,baritone
Dionne Warwick,vocalist
J.B. Bryan,piano
Bjorn Peterson,boy solo unspecified
Howard Boatwright,viola d'amore
Jeffrey Ly,piano
Herman C. Perez,xylophone
Jonathan Yates,piano
Sara Gurowitch,cello
Andrew Jennings,violin
Kozue Jinnouchi,piano
Frank Spery,tenor
Kevin Coughlin,vocalist
David Gebo,tenor
Linda Denham,soprano
Jean Casadesus,piano
Alice Tsui,piano
Grant Goldstein,guitar
Constance Dale,piano
Anne Drummond,flute
Madeleine Pizzuto,piano
Crystal Chiu,piano
Nina Sun Eidsheim,vocalist
Burak Bilgili,bass
Faith Sherman,mezzo-soprano
Brian R. Thacker,bass trombone
Rafael Mejias Vega,percussion
Henry T. Staats,piano
Theremin Ether-Wave Chamber Orchestra,theremin
Adolphe Dubois DeRockere,trumpet
Francesca Pannell,soprano
Shenyang,bass-baritone
Jeremy Galyon,bass|bass-baritone
Robert Pomakov,bass
Diamond Teeth Mary,vocalist
Linda Eder,vocalist
Ida Levin,violin
David Ripley,bass-baritone
Matthew Cvetic,piano
Ykay Ledezma,guitar
Ali Shariat,violin
Jennifer Koh,violin
Joseph Schumann,whistle|uilleann pipes
Kem,vocalist
Gloria Cheng,piano
Franca Battente,soprano
Zachary Colby,tenor
John Haines-Eitzen,cello
Ben Jaffe,tuba|double bass
Joe Tranchina,piano
Dennis Mills Heath,tenor
Carlo Buti,tenor
Helen Lee,soprano
Bogdan Djukic,violin
Robert Marsh,cello|French horn
Dov Levine,vocalist
Lyris Hung,violin
